,date,location,climat
722,2012-04-19,Albury,chaud_humide
723,2012-04-21,Albury,chaud_humide
731,2012-05-02,Albury,chaud_humide
748,2012-06-04,Albury,chaud_humide
754,2012-06-16,Albury,chaud_humide
758,2012-06-24,Albury,chaud_humide
789,2012-09-12,Albury,chaud_humide
795,2012-09-18,Albury,chaud_humide
803,2012-09-28,Albury,chaud_humide
810,2012-10-11,Albury,chaud_humide
814,2012-10-16,Albury,chaud_humide
832,2012-11-06,Albury,chaud_humide
862,2013-01-13,Albury,chaud_humide
896,2013-03-20,Albury,chaud_humide
899,2013-03-27,Albury,chaud_humide
921,2013-04-21,Albury,chaud_humide
936,2013-05-19,Albury,chaud_humide
944,2013-06-06,Albury,chaud_humide
947,2013-06-11,Albury,chaud_humide
956,2013-07-04,Albury,chaud_humide
957,2013-07-05,Albury,chaud_humide
958,2013-07-06,Albury,chaud_humide
968,2013-08-03,Albury,chaud_humide
973,2013-08-11,Albury,chaud_humide
976,2013-08-16,Albury,chaud_humide
977,2013-08-18,Albury,chaud_humide
978,2013-08-21,Albury,chaud_humide
982,2013-08-28,Albury,chaud_humide
995,2013-09-15,Albury,chaud_humide
997,2013-09-19,Albury,chaud_humide
1004,2013-09-26,Albury,chaud_humide
1007,2013-09-30,Albury,chaud_humide
1008,2013-10-01,Albury,chaud_humide
1021,2013-10-21,Albury,chaud_humide
1039,2013-11-10,Albury,chaud_humide
1060,2013-12-04,Albury,chaud_humide
1076,2013-12-26,Albury,chaud_humide
1090,2014-01-09,Albury,chaud_humide
1101,2014-01-23,Albury,chaud_humide
1118,2014-02-14,Albury,chaud_humide
1127,2014-02-28,Albury,chaud_humide
1135,2014-03-15,Albury,chaud_humide
1138,2014-03-21,Albury,chaud_humide
1139,2014-03-24,Albury,chaud_humide
1140,2014-03-26,Albury,chaud_humide
1143,2014-03-30,Albury,chaud_humide
1144,2014-04-02,Albury,chaud_humide
1147,2014-04-08,Albury,chaud_humide
1156,2014-04-22,Albury,chaud_humide
1161,2014-05-02,Albury,chaud_humide
1172,2014-05-23,Albury,chaud_humide
1176,2014-05-31,Albury,chaud_humide
1187,2014-06-27,Albury,chaud_humide
1192,2014-07-04,Albury,chaud_humide
1193,2014-07-05,Albury,chaud_humide
1194,2014-07-06,Albury,chaud_humide
1196,2014-07-11,Albury,chaud_humide
1251,2014-10-06,Albury,chaud_humide
1255,2014-10-12,Albury,chaud_humide
1269,2014-10-29,Albury,chaud_humide
1272,2014-11-01,Albury,chaud_humide
1297,2014-12-01,Albury,chaud_humide
1298,2014-12-03,Albury,chaud_humide
1300,2014-12-06,Albury,chaud_humide
1303,2014-12-10,Albury,chaud_humide
1329,2015-01-08,Albury,chaud_humide
1337,2015-01-20,Albury,chaud_humide
1339,2015-01-23,Albury,chaud_humide
1358,2015-02-14,Albury,chaud_humide
1361,2015-02-18,Albury,chaud_humide
1365,2015-02-23,Albury,chaud_humide
1369,2015-02-28,Albury,chaud_humide
1383,2015-03-17,Albury,chaud_humide
1399,2015-04-06,Albury,chaud_humide
1405,2015-04-14,Albury,chaud_humide
1411,2015-04-23,Albury,chaud_humide
1420,2015-05-09,Albury,chaud_humide
1421,2015-05-12,Albury,chaud_humide
1432,2015-06-04,Albury,chaud_humide
1446,2015-07-10,Albury,chaud_humide
1447,2015-07-14,Albury,chaud_humide
1453,2015-08-04,Albury,chaud_humide
1454,2015-08-06,Albury,chaud_humide
1458,2015-08-10,Albury,chaud_humide
1465,2015-08-21,Albury,chaud_humide
1468,2015-08-24,Albury,chaud_humide
1471,2015-09-02,Albury,chaud_humide
1474,2015-09-06,Albury,chaud_humide
1507,2015-10-11,Albury,chaud_humide
1516,2015-10-20,Albury,chaud_humide
1526,2015-10-30,Albury,chaud_humide
1528,2015-11-04,Albury,chaud_humide
1533,2015-11-11,Albury,chaud_humide
1555,2015-12-08,Albury,chaud_humide
1569,2015-12-25,Albury,chaud_humide
1574,2016-01-02,Albury,chaud_humide
1590,2016-01-22,Albury,chaud_humide
1593,2016-01-26,Albury,chaud_humide
1595,2016-01-30,Albury,chaud_humide
1632,2016-03-11,Albury,chaud_humide
1637,2016-03-17,Albury,chaud_humide
1654,2016-04-21,Albury,chaud_humide
1658,2016-04-29,Albury,chaud_humide
1660,2016-05-03,Albury,chaud_humide
1662,2016-05-07,Albury,chaud_humide
1663,2016-05-12,Albury,chaud_humide
1668,2016-05-22,Albury,chaud_humide
1673,2016-06-06,Albury,chaud_humide
1674,2016-06-08,Albury,chaud_humide
1677,2016-06-19,Albury,chaud_humide
1683,2016-07-08,Albury,chaud_humide
1684,2016-07-12,Albury,chaud_humide
1688,2016-07-21,Albury,chaud_humide
1689,2016-07-24,Albury,chaud_humide
1692,2016-07-30,Albury,chaud_humide
1695,2016-08-09,Albury,chaud_humide
1700,2016-08-19,Albury,chaud_humide
1708,2016-08-30,Albury,chaud_humide
1709,2016-09-02,Albury,chaud_humide
1713,2016-09-08,Albury,chaud_humide
1715,2016-09-13,Albury,chaud_humide
1717,2016-09-17,Albury,chaud_humide
1719,2016-09-20,Albury,chaud_humide
1722,2016-09-24,Albury,chaud_humide
1723,2016-09-26,Albury,chaud_humide
1724,2016-09-28,Albury,chaud_humide
1725,2016-10-02,Albury,chaud_humide
1729,2016-10-09,Albury,chaud_humide
1735,2016-10-16,Albury,chaud_humide
1736,2016-10-18,Albury,chaud_humide
1746,2016-10-30,Albury,chaud_humide
1756,2016-11-11,Albury,chaud_humide
1757,2016-11-13,Albury,chaud_humide
1764,2016-11-22,Albury,chaud_humide
1783,2016-12-15,Albury,chaud_humide
1786,2016-12-20,Albury,chaud_humide
1790,2016-12-24,Albury,chaud_humide
1793,2016-12-28,Albury,chaud_humide
1802,2017-01-13,Albury,chaud_humide
1805,2017-01-19,Albury,chaud_humide
1818,2017-02-11,Albury,chaud_humide
1849,2017-04-08,Albury,chaud_humide
1850,2017-04-09,Albury,chaud_humide
1859,2017-04-21,Albury,chaud_humide
1861,2017-04-24,Albury,chaud_humide
1881,2017-05-27,Albury,chaud_humide
1882,2017-05-30,Albury,chaud_humide
1883,2017-06-05,Albury,chaud_humide
1903,2009-01-11,Badgerys Creek,chaud_humide
1911,2009-01-21,Badgerys Creek,chaud_humide
1915,2009-01-26,Badgerys Creek,chaud_humide
1926,2009-02-09,Badgerys Creek,chaud_humide
1928,2009-02-13,Badgerys Creek,chaud_humide
1929,2009-02-17,Badgerys Creek,chaud_humide
1933,2009-02-23,Badgerys Creek,chaud_humide
1939,2009-03-08,Badgerys Creek,chaud_humide
1941,2009-03-11,Badgerys Creek,chaud_humide
1951,2009-03-30,Badgerys Creek,chaud_humide
1959,2009-04-13,Badgerys Creek,chaud_humide
1964,2009-04-19,Badgerys Creek,chaud_humide
1984,2009-05-19,Badgerys Creek,chaud_humide
1988,2009-05-30,Badgerys Creek,chaud_humide
1997,2009-06-18,Badgerys Creek,chaud_humide
2004,2009-07-07,Badgerys Creek,chaud_humide
2005,2009-07-08,Badgerys Creek,chaud_humide
2010,2009-07-16,Badgerys Creek,chaud_humide
2014,2009-07-26,Badgerys Creek,chaud_humide
2025,2009-08-21,Badgerys Creek,chaud_humide
2029,2009-08-29,Badgerys Creek,chaud_humide
2042,2009-09-17,Badgerys Creek,chaud_humide
2054,2009-10-02,Badgerys Creek,chaud_humide
2060,2009-10-14,Badgerys Creek,chaud_humide
2076,2009-11-05,Badgerys Creek,chaud_humide
2091,2009-11-23,Badgerys Creek,chaud_humide
2093,2009-11-26,Badgerys Creek,chaud_humide
2096,2009-11-30,Badgerys Creek,chaud_humide
2115,2009-12-25,Badgerys Creek,chaud_humide
2116,2009-12-27,Badgerys Creek,chaud_humide
2120,2010-01-02,Badgerys Creek,chaud_humide
2126,2010-01-13,Badgerys Creek,chaud_humide
2133,2010-01-23,Badgerys Creek,chaud_humide
2134,2010-02-02,Badgerys Creek,chaud_humide
2147,2010-03-13,Badgerys Creek,chaud_humide
2162,2010-04-06,Badgerys Creek,chaud_humide
2188,2010-06-02,Badgerys Creek,chaud_humide
2196,2010-06-17,Badgerys Creek,chaud_humide
2204,2010-07-08,Badgerys Creek,chaud_humide
2213,2010-07-24,Badgerys Creek,chaud_humide
2215,2010-08-02,Badgerys Creek,chaud_humide
2219,2010-08-09,Badgerys Creek,chaud_humide
2229,2010-09-02,Badgerys Creek,chaud_humide
2259,2010-10-13,Badgerys Creek,chaud_humide
2264,2010-10-22,Badgerys Creek,chaud_humide
2268,2010-11-01,Badgerys Creek,chaud_humide
2269,2010-11-03,Badgerys Creek,chaud_humide
2270,2010-11-04,Badgerys Creek,chaud_humide
2271,2010-11-05,Badgerys Creek,chaud_humide
2272,2010-11-08,Badgerys Creek,chaud_humide
2273,2010-11-10,Badgerys Creek,chaud_humide
2276,2010-11-15,Badgerys Creek,chaud_humide
2278,2010-11-18,Badgerys Creek,chaud_humide
2290,2010-12-06,Badgerys Creek,chaud_humide
2291,2010-12-08,Badgerys Creek,chaud_humide
2292,2010-12-09,Badgerys Creek,chaud_humide
2300,2010-12-25,Badgerys Creek,chaud_humide
2309,2011-01-07,Badgerys Creek,chaud_humide
2311,2011-01-14,Badgerys Creek,chaud_humide
2333,2011-02-12,Badgerys Creek,chaud_humide
2336,2011-02-16,Badgerys Creek,chaud_humide
2337,2011-02-17,Badgerys Creek,chaud_humide
2357,2011-03-16,Badgerys Creek,chaud_humide
2358,2011-03-18,Badgerys Creek,chaud_humide
2362,2011-03-27,Badgerys Creek,chaud_humide
2381,2011-05-24,Badgerys Creek,chaud_humide
2386,2011-05-29,Badgerys Creek,chaud_humide
2437,2011-08-17,Badgerys Creek,chaud_humide
2453,2011-09-06,Badgerys Creek,chaud_humide
2455,2011-09-08,Badgerys Creek,chaud_humide
2470,2011-09-24,Badgerys Creek,chaud_humide
2474,2011-10-01,Badgerys Creek,chaud_humide
2477,2011-10-06,Badgerys Creek,chaud_humide
2478,2011-10-07,Badgerys Creek,chaud_humide
2483,2011-10-14,Badgerys Creek,chaud_humide
2497,2011-10-29,Badgerys Creek,chaud_humide
2507,2011-11-16,Badgerys Creek,chaud_humide
2509,2011-11-21,Badgerys Creek,chaud_humide
2512,2011-11-30,Badgerys Creek,chaud_humide
2516,2011-12-04,Badgerys Creek,chaud_humide
2518,2011-12-07,Badgerys Creek,chaud_humide
2520,2011-12-11,Badgerys Creek,chaud_humide
2525,2011-12-22,Badgerys Creek,chaud_humide
2536,2012-01-05,Badgerys Creek,chaud_humide
2539,2012-01-08,Badgerys Creek,chaud_humide
2544,2012-01-14,Badgerys Creek,chaud_humide
2547,2012-01-21,Badgerys Creek,chaud_humide
2549,2012-01-24,Badgerys Creek,chaud_humide
2550,2012-01-29,Badgerys Creek,chaud_humide
2552,2012-01-31,Badgerys Creek,chaud_humide
2557,2012-02-09,Badgerys Creek,chaud_humide
2558,2012-02-13,Badgerys Creek,chaud_humide
2561,2012-02-17,Badgerys Creek,chaud_humide
2562,2012-02-19,Badgerys Creek,chaud_humide
2566,2012-02-28,Badgerys Creek,chaud_humide
2567,2012-03-04,Badgerys Creek,chaud_humide
2569,2012-03-07,Badgerys Creek,chaud_humide
2574,2012-03-19,Badgerys Creek,chaud_humide
2581,2012-03-28,Badgerys Creek,chaud_humide
2585,2012-04-01,Badgerys Creek,chaud_humide
2597,2012-04-17,Badgerys Creek,chaud_humide
2599,2012-04-21,Badgerys Creek,chaud_humide
2600,2012-04-22,Badgerys Creek,chaud_humide
2638,2012-06-10,Badgerys Creek,chaud_humide
2653,2012-07-05,Badgerys Creek,chaud_humide
2664,2012-07-22,Badgerys Creek,chaud_humide
2706,2012-09-13,Badgerys Creek,chaud_humide
2710,2012-09-18,Badgerys Creek,chaud_humide
2720,2012-09-28,Badgerys Creek,chaud_humide
2727,2012-10-06,Badgerys Creek,chaud_humide
2728,2012-10-08,Badgerys Creek,chaud_humide
2729,2012-10-10,Badgerys Creek,chaud_humide
2750,2012-11-07,Badgerys Creek,chaud_humide
2751,2012-11-08,Badgerys Creek,chaud_humide
2755,2012-11-13,Badgerys Creek,chaud_humide
2757,2012-11-16,Badgerys Creek,chaud_humide
2759,2012-11-19,Badgerys Creek,chaud_humide
2766,2012-11-26,Badgerys Creek,chaud_humide
2784,2013-01-20,Badgerys Creek,chaud_humide
2786,2013-01-22,Badgerys Creek,chaud_humide
2790,2013-01-26,Badgerys Creek,chaud_humide
2792,2013-01-31,Badgerys Creek,chaud_humide
2815,2013-04-03,Badgerys Creek,chaud_humide
2816,2013-04-06,Badgerys Creek,chaud_humide
2817,2013-04-09,Badgerys Creek,chaud_humide
2820,2013-04-15,Badgerys Creek,chaud_humide
2823,2013-04-19,Badgerys Creek,chaud_humide
2838,2013-05-13,Badgerys Creek,chaud_humide
2846,2013-05-22,Badgerys Creek,chaud_humide
2849,2013-05-27,Badgerys Creek,chaud_humide
2857,2013-06-10,Badgerys Creek,chaud_humide
2865,2013-06-22,Badgerys Creek,chaud_humide
2914,2013-09-13,Badgerys Creek,chaud_humide
2916,2013-09-16,Badgerys Creek,chaud_humide
2945,2013-10-22,Badgerys Creek,chaud_humide
2962,2013-11-10,Badgerys Creek,chaud_humide
2964,2013-11-15,Badgerys Creek,chaud_humide
2966,2013-11-21,Badgerys Creek,chaud_humide
3000,2014-01-02,Badgerys Creek,chaud_humide
3017,2014-01-20,Badgerys Creek,chaud_humide
3020,2014-01-24,Badgerys Creek,chaud_humide
3036,2014-02-11,Badgerys Creek,chaud_humide
3044,2014-02-28,Badgerys Creek,chaud_humide
3045,2014-03-03,Badgerys Creek,chaud_humide
3047,2014-03-07,Badgerys Creek,chaud_humide
3053,2014-03-19,Badgerys Creek,chaud_humide
3055,2014-03-22,Badgerys Creek,chaud_humide
3059,2014-03-30,Badgerys Creek,chaud_humide
3072,2014-04-24,Badgerys Creek,chaud_humide
3073,2014-04-25,Badgerys Creek,chaud_humide
3076,2014-04-29,Badgerys Creek,chaud_humide
3079,2014-05-02,Badgerys Creek,chaud_humide
3097,2014-05-31,Badgerys Creek,chaud_humide
3098,2014-06-01,Badgerys Creek,chaud_humide
3100,2014-06-04,Badgerys Creek,chaud_humide
3101,2014-06-05,Badgerys Creek,chaud_humide
3103,2014-06-10,Badgerys Creek,chaud_humide
3136,2014-07-25,Badgerys Creek,chaud_humide
3151,2014-08-12,Badgerys Creek,chaud_humide
3154,2014-08-16,Badgerys Creek,chaud_humide
3158,2014-08-25,Badgerys Creek,chaud_humide
3164,2014-09-02,Badgerys Creek,chaud_humide
3166,2014-09-05,Badgerys Creek,chaud_humide
3167,2014-09-06,Badgerys Creek,chaud_humide
3168,2014-09-07,Badgerys Creek,chaud_humide
3169,2014-09-09,Badgerys Creek,chaud_humide
3201,2014-10-20,Badgerys Creek,chaud_humide
3210,2014-11-01,Badgerys Creek,chaud_humide
3220,2014-11-15,Badgerys Creek,chaud_humide
3227,2014-11-24,Badgerys Creek,chaud_humide
3232,2014-11-30,Badgerys Creek,chaud_humide
3233,2014-12-03,Badgerys Creek,chaud_humide
3235,2014-12-10,Badgerys Creek,chaud_humide
3245,2014-12-22,Badgerys Creek,chaud_humide
3246,2014-12-25,Badgerys Creek,chaud_humide
3255,2015-01-04,Badgerys Creek,chaud_humide
3258,2015-01-10,Badgerys Creek,chaud_humide
3264,2015-01-19,Badgerys Creek,chaud_humide
3265,2015-01-20,Badgerys Creek,chaud_humide
3266,2015-01-21,Badgerys Creek,chaud_humide
3268,2015-01-23,Badgerys Creek,chaud_humide
3269,2015-01-26,Badgerys Creek,chaud_humide
3282,2015-02-12,Badgerys Creek,chaud_humide
3283,2015-02-14,Badgerys Creek,chaud_humide
3287,2015-02-20,Badgerys Creek,chaud_humide
3290,2015-02-25,Badgerys Creek,chaud_humide
3306,2015-03-20,Badgerys Creek,chaud_humide
3307,2015-03-21,Badgerys Creek,chaud_humide
3313,2015-03-30,Badgerys Creek,chaud_humide
3316,2015-04-10,Badgerys Creek,chaud_humide
3324,2015-04-29,Badgerys Creek,chaud_humide
3325,2015-05-01,Badgerys Creek,chaud_humide
3341,2015-05-21,Badgerys Creek,chaud_humide
3342,2015-05-22,Badgerys Creek,chaud_humide
3352,2015-06-04,Badgerys Creek,chaud_humide
3359,2015-06-15,Badgerys Creek,chaud_humide
3415,2016-01-04,Badgerys Creek,chaud_humide
3416,2016-01-05,Badgerys Creek,chaud_humide
3417,2016-01-06,Badgerys Creek,chaud_humide
3421,2016-01-14,Badgerys Creek,chaud_humide
3427,2016-01-21,Badgerys Creek,chaud_humide
3428,2016-01-25,Badgerys Creek,chaud_humide
3432,2016-02-06,Badgerys Creek,chaud_humide
3443,2016-02-20,Badgerys Creek,chaud_humide
3464,2016-03-16,Badgerys Creek,chaud_humide
3467,2016-03-20,Badgerys Creek,chaud_humide
3468,2016-03-21,Badgerys Creek,chaud_humide
3473,2016-03-27,Badgerys Creek,chaud_humide
3485,2016-04-11,Badgerys Creek,chaud_humide
3490,2016-04-18,Badgerys Creek,chaud_humide
3493,2016-04-22,Badgerys Creek,chaud_humide
3494,2016-04-23,Badgerys Creek,chaud_humide
3524,2016-05-28,Badgerys Creek,chaud_humide
3526,2016-05-31,Badgerys Creek,chaud_humide
3529,2016-06-03,Badgerys Creek,chaud_humide
3536,2016-06-17,Badgerys Creek,chaud_humide
3546,2016-07-04,Badgerys Creek,chaud_humide
3548,2016-07-07,Badgerys Creek,chaud_humide
3552,2016-07-11,Badgerys Creek,chaud_humide
3558,2016-07-19,Badgerys Creek,chaud_humide
3559,2016-07-22,Badgerys Creek,chaud_humide
3568,2016-08-07,Badgerys Creek,chaud_humide
3578,2016-08-19,Badgerys Creek,chaud_humide
3593,2016-09-09,Badgerys Creek,chaud_humide
3596,2016-09-13,Badgerys Creek,chaud_humide
3599,2016-09-18,Badgerys Creek,chaud_humide
3600,2016-09-21,Badgerys Creek,chaud_humide
3607,2016-09-28,Badgerys Creek,chaud_humide
3624,2016-10-17,Badgerys Creek,chaud_humide
3628,2016-10-21,Badgerys Creek,chaud_humide
3632,2016-10-27,Badgerys Creek,chaud_humide
3642,2016-11-08,Badgerys Creek,chaud_humide
3643,2016-11-09,Badgerys Creek,chaud_humide
3645,2016-11-11,Badgerys Creek,chaud_humide
3666,2016-12-24,Badgerys Creek,chaud_humide
3667,2016-12-26,Badgerys Creek,chaud_humide
3677,2017-01-09,Badgerys Creek,chaud_humide
3689,2017-01-24,Badgerys Creek,chaud_humide
3703,2017-02-07,Badgerys Creek,chaud_humide
3711,2017-02-17,Badgerys Creek,chaud_humide
3715,2017-02-24,Badgerys Creek,chaud_humide
3716,2017-02-27,Badgerys Creek,chaud_humide
3719,2017-03-07,Badgerys Creek,chaud_humide
3724,2017-03-13,Badgerys Creek,chaud_humide
3728,2017-04-09,Badgerys Creek,chaud_humide
3757,2017-05-14,Badgerys Creek,chaud_humide
3763,2017-05-23,Badgerys Creek,chaud_humide
3773,2017-06-06,Badgerys Creek,chaud_humide
3774,2017-06-09,Badgerys Creek,chaud_humide
3788,2009-01-02,Coffs Harbour,chaud_humide
3798,2009-01-16,Coffs Harbour,chaud_humide
3802,2009-01-22,Coffs Harbour,chaud_humide
3805,2009-01-25,Coffs Harbour,chaud_humide
3810,2009-02-01,Coffs Harbour,chaud_humide
3818,2009-02-10,Coffs Harbour,chaud_humide
3819,2009-02-11,Coffs Harbour,chaud_humide
3820,2009-02-19,Coffs Harbour,chaud_humide
3821,2009-02-21,Coffs Harbour,chaud_humide
3823,2009-02-25,Coffs Harbour,chaud_humide
3826,2009-03-02,Coffs Harbour,chaud_humide
3831,2009-03-09,Coffs Harbour,chaud_humide
3833,2009-03-14,Coffs Harbour,chaud_humide
3834,2009-03-16,Coffs Harbour,chaud_humide
3840,2009-03-22,Coffs Harbour,chaud_humide
3844,2009-03-27,Coffs Harbour,chaud_humide
3845,2009-03-29,Coffs Harbour,chaud_humide
3847,2009-04-11,Coffs Harbour,chaud_humide
3850,2009-04-18,Coffs Harbour,chaud_humide
3851,2009-04-24,Coffs Harbour,chaud_humide
3860,2009-05-03,Coffs Harbour,chaud_humide
3861,2009-05-05,Coffs Harbour,chaud_humide
3865,2009-05-10,Coffs Harbour,chaud_humide
3871,2009-05-18,Coffs Harbour,chaud_humide
3872,2009-05-20,Coffs Harbour,chaud_humide
3875,2009-05-28,Coffs Harbour,chaud_humide
3877,2009-05-30,Coffs Harbour,chaud_humide
3878,2009-06-01,Coffs Harbour,chaud_humide
3883,2009-06-15,Coffs Harbour,chaud_humide
3884,2009-06-17,Coffs Harbour,chaud_humide
3897,2009-07-07,Coffs Harbour,chaud_humide
3909,2009-07-24,Coffs Harbour,chaud_humide
3925,2009-08-11,Coffs Harbour,chaud_humide
3935,2009-08-21,Coffs Harbour,chaud_humide
3959,2009-09-15,Coffs Harbour,chaud_humide
3973,2009-10-02,Coffs Harbour,chaud_humide
3978,2009-10-10,Coffs Harbour,chaud_humide
3983,2009-10-23,Coffs Harbour,chaud_humide
3985,2009-10-25,Coffs Harbour,chaud_humide
3991,2009-11-05,Coffs Harbour,chaud_humide
3993,2009-11-13,Coffs Harbour,chaud_humide
4003,2009-11-28,Coffs Harbour,chaud_humide
4005,2009-12-01,Coffs Harbour,chaud_humide
4010,2009-12-10,Coffs Harbour,chaud_humide
4013,2009-12-14,Coffs Harbour,chaud_humide
4014,2009-12-18,Coffs Harbour,chaud_humide
4023,2010-01-01,Coffs Harbour,chaud_humide
4024,2010-01-02,Coffs Harbour,chaud_humide
4025,2010-01-03,Coffs Harbour,chaud_humide
4038,2010-01-17,Coffs Harbour,chaud_humide
4049,2010-01-28,Coffs Harbour,chaud_humide
4050,2010-01-30,Coffs Harbour,chaud_humide
4051,2010-02-05,Coffs Harbour,chaud_humide
4052,2010-02-08,Coffs Harbour,chaud_humide
4056,2010-02-15,Coffs Harbour,chaud_humide
4058,2010-02-18,Coffs Harbour,chaud_humide
4059,2010-02-19,Coffs Harbour,chaud_humide
4060,2010-02-20,Coffs Harbour,chaud_humide
4062,2010-02-23,Coffs Harbour,chaud_humide
4063,2010-02-25,Coffs Harbour,chaud_humide
4065,2010-03-01,Coffs Harbour,chaud_humide
4066,2010-03-05,Coffs Harbour,chaud_humide
4067,2010-03-07,Coffs Harbour,chaud_humide
4069,2010-03-10,Coffs Harbour,chaud_humide
4071,2010-03-16,Coffs Harbour,chaud_humide
4086,2010-03-31,Coffs Harbour,chaud_humide
4088,2010-04-03,Coffs Harbour,chaud_humide
4093,2010-04-08,Coffs Harbour,chaud_humide
4100,2010-04-16,Coffs Harbour,chaud_humide
4104,2010-04-25,Coffs Harbour,chaud_humide
4111,2010-05-03,Coffs Harbour,chaud_humide
4123,2010-05-17,Coffs Harbour,chaud_humide
4125,2010-05-21,Coffs Harbour,chaud_humide
4126,2010-05-23,Coffs Harbour,chaud_humide
4128,2010-05-26,Coffs Harbour,chaud_humide
4131,2010-06-01,Coffs Harbour,chaud_humide
4140,2010-06-13,Coffs Harbour,chaud_humide
4146,2010-06-21,Coffs Harbour,chaud_humide
4148,2010-06-26,Coffs Harbour,chaud_humide
4156,2010-07-05,Coffs Harbour,chaud_humide
4157,2010-07-06,Coffs Harbour,chaud_humide
4158,2010-07-07,Coffs Harbour,chaud_humide
4159,2010-07-09,Coffs Harbour,chaud_humide
4169,2010-07-19,Coffs Harbour,chaud_humide
4173,2010-07-24,Coffs Harbour,chaud_humide
4174,2010-07-25,Coffs Harbour,chaud_humide
4175,2010-07-26,Coffs Harbour,chaud_humide
4183,2010-08-09,Coffs Harbour,chaud_humide
4191,2010-08-22,Coffs Harbour,chaud_humide
4202,2010-09-03,Coffs Harbour,chaud_humide
4218,2010-09-25,Coffs Harbour,chaud_humide
4221,2010-09-28,Coffs Harbour,chaud_humide
4223,2010-10-14,Coffs Harbour,chaud_humide
4227,2010-10-19,Coffs Harbour,chaud_humide
4231,2010-10-24,Coffs Harbour,chaud_humide
4233,2010-10-28,Coffs Harbour,chaud_humide
4236,2010-11-01,Coffs Harbour,chaud_humide
4238,2010-11-04,Coffs Harbour,chaud_humide
4242,2010-11-11,Coffs Harbour,chaud_humide
4248,2010-11-23,Coffs Harbour,chaud_humide
4250,2010-11-26,Coffs Harbour,chaud_humide
4252,2010-12-04,Coffs Harbour,chaud_humide
4253,2010-12-07,Coffs Harbour,chaud_humide
