,raintomorrow,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
98,0.0,,,,,,,,,,,,,,,,,
99,1.0,,,,,,,,,,,,,,,,,
100,0.0,,,,,,,,,,,,,,,,,
101,1.0,,,,,,,,,,,,,,,,,
105,0.0,,,,,,,,,,,,,,,,,
106,0.0,,,,,,,,,,,,,,,,,
107,0.0,,,,,,,,,,,,,,,,,
108,0.0,,,,,,,,,,,,,,,,,
109,0.0,,,,,,,,,,,,,,,,,
111,0.0,,,,,,,,,,,,,,,,,
113,0.0,,,,,,,,,,,,,,,,,
114,1.0,,,,,,,,,,,,,,,,,
117,0.0,,,,,,,,,,,,,,,,,
120,0.0,,,,,,,,,,,,,,,,,
125,0.0,,,,,,,,,,,,,,,,,
126,0.0,,,,,,,,,,,,,,,,,
127,0.0,,,,,,,,,,,,,,,,,
128,0.0,,,,,,,,,,,,,,,,,
129,0.0,,,,,,,,,,,,,,,,,
130,1.0,,,,,,,,,,,,,,,,,
133,0.0,,,,,,,,,,,,,,,,,
135,0.0,,,,,,,,,,,,,,,,,
137,0.0,,,,,,,,,,,,,,,,,
138,0.0,,,,,,,,,,,,,,,,,
139,0.0,,,,,,,,,,,,,,,,,
140,0.0,,,,,,,,,,,,,,,,,
141,0.0,,,,,,,,,,,,,,,,,
144,1.0,,,,,,,,,,,,,,,,,
149,0.0,,,,,,,,,,,,,,,,,
152,0.0,,,,,,,,,,,,,,,,,
153,0.0,,,,,,,,,,,,,,,,,
154,0.0,,,,,,,,,,,,,,,,,
156,0.0,,,,,,,,,,,,,,,,,
157,0.0,,,,,,,,,,,,,,,,,
161,0.0,,,,,,,,,,,,,,,,,
162,0.0,,,,,,,,,,,,,,,,,
163,0.0,,,,,,,,,,,,,,,,,
164,0.0,,,,,,,,,,,,,,,,,
165,1.0,,,,,,,,,,,,,,,,,
166,0.0,,,,,,,,,,,,,,,,,
167,0.0,,,,,,,,,,,,,,,,,
170,0.0,,,,,,,,,,,,,,,,,
172,0.0,,,,,,,,,,,,,,,,,
173,0.0,,,,,,,,,,,,,,,,,
175,1.0,,,,,,,,,,,,,,,,,
186,0.0,,,,,,,,,,,,,,,,,
190,1.0,,,,,,,,,,,,,,,,,
193,0.0,,,,,,,,,,,,,,,,,
194,0.0,,,,,,,,,,,,,,,,,
200,0.0,,,,,,,,,,,,,,,,,
201,1.0,,,,,,,,,,,,,,,,,
202,1.0,,,,,,,,,,,,,,,,,
204,1.0,,,,,,,,,,,,,,,,,
206,1.0,,,,,,,,,,,,,,,,,
208,1.0,,,,,,,,,,,,,,,,,
211,1.0,,,,,,,,,,,,,,,,,
215,0.0,,,,,,,,,,,,,,,,,
216,0.0,,,,,,,,,,,,,,,,,
217,0.0,,,,,,,,,,,,,,,,,
223,0.0,,,,,,,,,,,,,,,,,
224,1.0,,,,,,,,,,,,,,,,,
228,0.0,,,,,,,,,,,,,,,,,
230,0.0,,,,,,,,,,,,,,,,,
232,0.0,,,,,,,,,,,,,,,,,
233,1.0,,,,,,,,,,,,,,,,,
238,1.0,,,,,,,,,,,,,,,,,
244,0.0,,,,,,,,,,,,,,,,,
245,0.0,,,,,,,,,,,,,,,,,
249,1.0,,,,,,,,,,,,,,,,,
251,0.0,,,,,,,,,,,,,,,,,
252,0.0,,,,,,,,,,,,,,,,,
253,1.0,,,,,,,,,,,,,,,,,
255,1.0,,,,,,,,,,,,,,,,,
257,1.0,,,,,,,,,,,,,,,,,
258,1.0,,,,,,,,,,,,,,,,,
261,0.0,,,,,,,,,,,,,,,,,
262,0.0,,,,,,,,,,,,,,,,,
263,1.0,,,,,,,,,,,,,,,,,
266,1.0,,,,,,,,,,,,,,,,,
269,0.0,,,,,,,,,,,,,,,,,
270,1.0,,,,,,,,,,,,,,,,,
273,1.0,,,,,,,,,,,,,,,,,
275,0.0,,,,,,,,,,,,,,,,,
276,1.0,,,,,,,,,,,,,,,,,
277,0.0,,,,,,,,,,,,,,,,,
278,0.0,,,,,,,,,,,,,,,,,
279,0.0,,,,,,,,,,,,,,,,,
280,0.0,,,,,,,,,,,,,,,,,
281,0.0,,,,,,,,,,,,,,,,,
282,0.0,,,,,,,,,,,,,,,,,
285,0.0,,,,,,,,,,,,,,,,,
286,0.0,,,,,,,,,,,,,,,,,
287,0.0,,,,,,,,,,,,,,,,,
288,0.0,,,,,,,,,,,,,,,,,
289,0.0,,,,,,,,,,,,,,,,,
290,1.0,,,,,,,,,,,,,,,,,
292,0.0,,,,,,,,,,,,,,,,,
294,1.0,,,,,,,,,,,,,,,,,
297,0.0,,,,,,,,,,,,,,,,,
298,1.0,,,,,,,,,,,,,,,,,
300,0.0,,,,,,,,,,,,,,,,,
301,0.0,,,,,,,,,,,,,,,,,
302,0.0,,,,,,,,,,,,,,,,,
303,0.0,,,,,,,,,,,,,,,,,
304,0.0,,,,,,,,,,,,,,,,,
305,1.0,,,,,,,,,,,,,,,,,
309,1.0,,,,,,,,,,,,,,,,,
311,0.0,,,,,,,,,,,,,,,,,
312,0.0,,,,,,,,,,,,,,,,,
313,0.0,,,,,,,,,,,,,,,,,
314,0.0,,,,,,,,,,,,,,,,,
315,1.0,,,,,,,,,,,,,,,,,
316,1.0,,,,,,,,,,,,,,,,,
318,1.0,,,,,,,,,,,,,,,,,
320,0.0,,,,,,,,,,,,,,,,,
321,0.0,,,,,,,,,,,,,,,,,
322,0.0,,,,,,,,,,,,,,,,,
323,0.0,,,,,,,,,,,,,,,,,
324,0.0,,,,,,,,,,,,,,,,,
325,0.0,,,,,,,,,,,,,,,,,
326,0.0,,,,,,,,,,,,,,,,,
327,0.0,,,,,,,,,,,,,,,,,
328,0.0,,,,,,,,,,,,,,,,,
329,0.0,,,,,,,,,,,,,,,,,
330,0.0,,,,,,,,,,,,,,,,,
331,0.0,,,,,,,,,,,,,,,,,
332,0.0,,,,,,,,,,,,,,,,,
333,0.0,,,,,,,,,,,,,,,,,
334,0.0,,,,,,,,,,,,,,,,,
335,0.0,,,,,,,,,,,,,,,,,
336,0.0,,,,,,,,,,,,,,,,,
337,0.0,,,,,,,,,,,,,,,,,
338,0.0,,,,,,,,,,,,,,,,,
339,0.0,,,,,,,,,,,,,,,,,
340,0.0,,,,,,,,,,,,,,,,,
341,0.0,,,,,,,,,,,,,,,,,
342,0.0,,,,,,,,,,,,,,,,,
343,0.0,,,,,,,,,,,,,,,,,
344,0.0,,,,,,,,,,,,,,,,,
345,0.0,,,,,,,,,,,,,,,,,
346,0.0,,,,,,,,,,,,,,,,,
347,0.0,,,,,,,,,,,,,,,,,
348,0.0,,,,,,,,,,,,,,,,,
349,0.0,,,,,,,,,,,,,,,,,
350,0.0,,,,,,,,,,,,,,,,,
352,0.0,,,,,,,,,,,,,,,,,
353,0.0,,,,,,,,,,,,,,,,,
357,0.0,,,,,,,,,,,,,,,,,
358,0.0,,,,,,,,,,,,,,,,,
359,0.0,,,,,,,,,,,,,,,,,
362,1.0,,,,,,,,,,,,,,,,,
365,0.0,,,,,,,,,,,,,,,,,
366,0.0,,,,,,,,,,,,,,,,,
367,0.0,,,,,,,,,,,,,,,,,
368,0.0,,,,,,,,,,,,,,,,,
369,0.0,,,,,,,,,,,,,,,,,
370,0.0,,,,,,,,,,,,,,,,,
371,0.0,,,,,,,,,,,,,,,,,
372,1.0,,,,,,,,,,,,,,,,,
373,0.0,,,,,,,,,,,,,,,,,
374,0.0,,,,,,,,,,,,,,,,,
375,0.0,,,,,,,,,,,,,,,,,
376,0.0,,,,,,,,,,,,,,,,,
377,0.0,,,,,,,,,,,,,,,,,
378,0.0,,,,,,,,,,,,,,,,,
379,0.0,,,,,,,,,,,,,,,,,
380,0.0,,,,,,,,,,,,,,,,,
383,0.0,,,,,,,,,,,,,,,,,
384,0.0,,,,,,,,,,,,,,,,,
385,0.0,,,,,,,,,,,,,,,,,
386,0.0,,,,,,,,,,,,,,,,,
387,0.0,,,,,,,,,,,,,,,,,
390,0.0,,,,,,,,,,,,,,,,,
391,0.0,,,,,,,,,,,,,,,,,
392,0.0,,,,,,,,,,,,,,,,,
393,0.0,,,,,,,,,,,,,,,,,
394,0.0,,,,,,,,,,,,,,,,,
398,0.0,,,,,,,,,,,,,,,,,
399,0.0,,,,,,,,,,,,,,,,,
400,0.0,,,,,,,,,,,,,,,,,
401,0.0,,,,,,,,,,,,,,,,,
403,0.0,,,,,,,,,,,,,,,,,
404,0.0,,,,,,,,,,,,,,,,,
405,0.0,,,,,,,,,,,,,,,,,
410,0.0,,,,,,,,,,,,,,,,,
411,0.0,,,,,,,,,,,,,,,,,
412,0.0,,,,,,,,,,,,,,,,,
414,0.0,,,,,,,,,,,,,,,,,
415,0.0,,,,,,,,,,,,,,,,,
416,0.0,,,,,,,,,,,,,,,,,
417,0.0,,,,,,,,,,,,,,,,,
420,0.0,,,,,,,,,,,,,,,,,
422,0.0,,,,,,,,,,,,,,,,,
424,0.0,,,,,,,,,,,,,,,,,
425,0.0,,,,,,,,,,,,,,,,,
427,1.0,,,,,,,,,,,,,,,,,
429,0.0,,,,,,,,,,,,,,,,,
433,0.0,,,,,,,,,,,,,,,,,
434,0.0,,,,,,,,,,,,,,,,,
439,0.0,,,,,,,,,,,,,,,,,
440,0.0,,,,,,,,,,,,,,,,,
441,0.0,,,,,,,,,,,,,,,,,
442,0.0,,,,,,,,,,,,,,,,,
445,0.0,,,,,,,,,,,,,,,,,
446,0.0,,,,,,,,,,,,,,,,,
447,1.0,,,,,,,,,,,,,,,,,
449,0.0,,,,,,,,,,,,,,,,,
450,0.0,,,,,,,,,,,,,,,,,
451,0.0,,,,,,,,,,,,,,,,,
466,0.0,,,,,,,,,,,,,,,,,
468,0.0,,,,,,,,,,,,,,,,,
471,0.0,,,,,,,,,,,,,,,,,
472,0.0,,,,,,,,,,,,,,,,,
473,0.0,,,,,,,,,,,,,,,,,
474,0.0,,,,,,,,,,,,,,,,,
476,0.0,,,,,,,,,,,,,,,,,
477,0.0,,,,,,,,,,,,,,,,,
479,0.0,,,,,,,,,,,,,,,,,
482,1.0,,,,,,,,,,,,,,,,,
485,0.0,,,,,,,,,,,,,,,,,
486,0.0,,,,,,,,,,,,,,,,,
489,0.0,,,,,,,,,,,,,,,,,
490,0.0,,,,,,,,,,,,,,,,,
494,0.0,,,,,,,,,,,,,,,,,
495,1.0,,,,,,,,,,,,,,,,,
497,0.0,,,,,,,,,,,,,,,,,
498,0.0,,,,,,,,,,,,,,,,,
499,0.0,,,,,,,,,,,,,,,,,
501,0.0,,,,,,,,,,,,,,,,,
502,0.0,,,,,,,,,,,,,,,,,
505,0.0,,,,,,,,,,,,,,,,,
506,0.0,,,,,,,,,,,,,,,,,
508,1.0,,,,,,,,,,,,,,,,,
511,0.0,,,,,,,,,,,,,,,,,
513,0.0,,,,,,,,,,,,,,,,,
514,0.0,,,,,,,,,,,,,,,,,
517,0.0,,,,,,,,,,,,,,,,,
519,1.0,,,,,,,,,,,,,,,,,
521,0.0,,,,,,,,,,,,,,,,,
522,0.0,,,,,,,,,,,,,,,,,
524,0.0,,,,,,,,,,,,,,,,,
525,0.0,,,,,,,,,,,,,,,,,
526,0.0,,,,,,,,,,,,,,,,,
527,0.0,,,,,,,,,,,,,,,,,
529,0.0,,,,,,,,,,,,,,,,,
532,0.0,,,,,,,,,,,,,,,,,
533,0.0,,,,,,,,,,,,,,,,,
538,0.0,,,,,,,,,,,,,,,,,
539,1.0,,,,,,,,,,,,,,,,,
546,0.0,,,,,,,,,,,,,,,,,
551,0.0,,,,,,,,,,,,,,,,,
552,0.0,,,,,,,,,,,,,,,,,
554,0.0,,,,,,,,,,,,,,,,,
555,1.0,,,,,,,,,,,,,,,,,
557,0.0,,,,,,,,,,,,,,,,,
559,0.0,,,,,,,,,,,,,,,,,
561,0.0,,,,,,,,,,,,,,,,,
562,1.0,,,,,,,,,,,,,,,,,
565,0.0,,,,,,,,,,,,,,,,,
567,0.0,,,,,,,,,,,,,,,,,
570,0.0,,,,,,,,,,,,,,,,,
571,1.0,,,,,,,,,,,,,,,,,
573,0.0,,,,,,,,,,,,,,,,,
574,0.0,,,,,,,,,,,,,,,,,
575,0.0,,,,,,,,,,,,,,,,,
576,1.0,,,,,,,,,,,,,,,,,
578,0.0,,,,,,,,,,,,,,,,,
586,1.0,,,,,,,,,,,,,,,,,
589,1.0,,,,,,,,,,,,,,,,,
592,0.0,,,,,,,,,,,,,,,,,
594,1.0,,,,,,,,,,,,,,,,,
595,0.0,,,,,,,,,,,,,,,,,
596,0.0,,,,,,,,,,,,,,,,,
599,0.0,,,,,,,,,,,,,,,,,
600,0.0,,,,,,,,,,,,,,,,,
601,0.0,,,,,,,,,,,,,,,,,
604,1.0,,,,,,,,,,,,,,,,,
606,1.0,,,,,,,,,,,,,,,,,
613,0.0,,,,,,,,,,,,,,,,,
616,1.0,,,,,,,,,,,,,,,,,
621,1.0,,,,,,,,,,,,,,,,,
622,1.0,,,,,,,,,,,,,,,,,
627,0.0,,,,,,,,,,,,,,,,,
628,0.0,,,,,,,,,,,,,,,,,
629,0.0,,,,,,,,,,,,,,,,,
630,1.0,,,,,,,,,,,,,,,,,
631,1.0,,,,,,,,,,,,,,,,,
632,1.0,,,,,,,,,,,,,,,,,
635,0.0,,,,,,,,,,,,,,,,,
636,0.0,,,,,,,,,,,,,,,,,
638,0.0,,,,,,,,,,,,,,,,,
639,0.0,,,,,,,,,,,,,,,,,
641,1.0,,,,,,,,,,,,,,,,,
645,0.0,,,,,,,,,,,,,,,,,
646,0.0,,,,,,,,,,,,,,,,,
647,1.0,,,,,,,,,,,,,,,,,
650,0.0,,,,,,,,,,,,,,,,,
651,0.0,,,,,,,,,,,,,,,,,
652,0.0,,,,,,,,,,,,,,,,,
653,0.0,,,,,,,,,,,,,,,,,
654,0.0,,,,,,,,,,,,,,,,,
655,0.0,,,,,,,,,,,,,,,,,
656,0.0,,,,,,,,,,,,,,,,,
657,0.0,,,,,,,,,,,,,,,,,
658,0.0,,,,,,,,,,,,,,,,,
659,0.0,,,,,,,,,,,,,,,,,
660,0.0,,,,,,,,,,,,,,,,,
662,0.0,,,,,,,,,,,,,,,,,
663,0.0,,,,,,,,,,,,,,,,,
665,0.0,,,,,,,,,,,,,,,,,
666,0.0,,,,,,,,,,,,,,,,,
667,0.0,,,,,,,,,,,,,,,,,
668,0.0,,,,,,,,,,,,,,,,,
669,0.0,,,,,,,,,,,,,,,,,
670,0.0,,,,,,,,,,,,,,,,,
671,0.0,,,,,,,,,,,,,,,,,
672,0.0,,,,,,,,,,,,,,,,,
673,0.0,,,,,,,,,,,,,,,,,
674,1.0,,,,,,,,,,,,,,,,,
676,0.0,,,,,,,,,,,,,,,,,
677,0.0,,,,,,,,,,,,,,,,,
678,0.0,,,,,,,,,,,,,,,,,
679,0.0,,,,,,,,,,,,,,,,,
680,1.0,,,,,,,,,,,,,,,,,
685,0.0,,,,,,,,,,,,,,,,,
686,0.0,,,,,,,,,,,,,,,,,
687,0.0,,,,,,,,,,,,,,,,,
690,0.0,,,,,,,,,,,,,,,,,
691,1.0,,,,,,,,,,,,,,,,,
693,0.0,,,,,,,,,,,,,,,,,
694,1.0,,,,,,,,,,,,,,,,,
695,0.0,,,,,,,,,,,,,,,,,
696,0.0,,,,,,,,,,,,,,,,,
697,1.0,,,,,,,,,,,,,,,,,
700,0.0,,,,,,,,,,,,,,,,,
701,0.0,,,,,,,,,,,,,,,,,
702,0.0,,,,,,,,,,,,,,,,,
703,0.0,,,,,,,,,,,,,,,,,
704,0.0,,,,,,,,,,,,,,,,,
705,0.0,,,,,,,,,,,,,,,,,
706,1.0,,,,,,,,,,,,,,,,,
708,0.0,,,,,,,,,,,,,,,,,
709,0.0,,,,,,,,,,,,,,,,,
710,0.0,,,,,,,,,,,,,,,,,
711,0.0,,,,,,,,,,,,,,,,,
712,1.0,,,,,,,,,,,,,,,,,
715,0.0,,,,,,,,,,,,,,,,,
716,0.0,,,,,,,,,,,,,,,,,
717,0.0,,,,,,,,,,,,,,,,,
718,0.0,,,,,,,,,,,,,,,,,
719,0.0,,,,,,,,,,,,,,,,,
720,0.0,,,,,,,,,,,,,,,,,
721,0.0,,,,,,,,,,,,,,,,,
722,0.0,,,,,,,,,,,,,,,,,
723,0.0,,,,,,,,,,,,,,,,,
724,1.0,,,,,,,,,,,,,,,,,
729,1.0,,,,,,,,,,,,,,,,,
731,1.0,,,,,,,,,,,,,,,,,
733,0.0,,,,,,,,,,,,,,,,,
734,0.0,,,,,,,,,,,,,,,,,
735,0.0,,,,,,,,,,,,,,,,,
736,1.0,,,,,,,,,,,,,,,,,
739,0.0,,,,,,,,,,,,,,,,,
740,0.0,,,,,,,,,,,,,,,,,
741,0.0,,,,,,,,,,,,,,,,,
742,0.0,,,,,,,,,,,,,,,,,
743,0.0,,,,,,,,,,,,,,,,,
744,0.0,,,,,,,,,,,,,,,,,
745,0.0,,,,,,,,,,,,,,,,,
746,0.0,,,,,,,,,,,,,,,,,
750,0.0,,,,,,,,,,,,,,,,,
751,0.0,,,,,,,,,,,,,,,,,
753,0.0,,,,,,,,,,,,,,,,,
754,0.0,,,,,,,,,,,,,,,,,
755,0.0,,,,,,,,,,,,,,,,,
756,0.0,,,,,,,,,,,,,,,,,
757,0.0,,,,,,,,,,,,,,,,,
758,0.0,,,,,,,,,,,,,,,,,
759,0.0,,,,,,,,,,,,,,,,,
760,0.0,,,,,,,,,,,,,,,,,
761,0.0,,,,,,,,,,,,,,,,,
762,0.0,,,,,,,,,,,,,,,,,
763,0.0,,,,,,,,,,,,,,,,,
764,0.0,,,,,,,,,,,,,,,,,
765,0.0,,,,,,,,,,,,,,,,,
766,0.0,,,,,,,,,,,,,,,,,
767,0.0,,,,,,,,,,,,,,,,,
769,1.0,,,,,,,,,,,,,,,,,
771,1.0,,,,,,,,,,,,,,,,,
776,0.0,,,,,,,,,,,,,,,,,
777,0.0,,,,,,,,,,,,,,,,,
778,0.0,,,,,,,,,,,,,,,,,
779,0.0,,,,,,,,,,,,,,,,,
780,0.0,,,,,,,,,,,,,,,,,
781,0.0,,,,,,,,,,,,,,,,,
782,0.0,,,,,,,,,,,,,,,,,
783,0.0,,,,,,,,,,,,,,,,,
785,0.0,,,,,,,,,,,,,,,,,
786,0.0,,,,,,,,,,,,,,,,,
788,0.0,,,,,,,,,,,,,,,,,
789,0.0,,,,,,,,,,,,,,,,,
790,0.0,,,,,,,,,,,,,,,,,
791,0.0,,,,,,,,,,,,,,,,,
792,0.0,,,,,,,,,,,,,,,,,
798,0.0,,,,,,,,,,,,,,,,,
799,0.0,,,,,,,,,,,,,,,,,
800,0.0,,,,,,,,,,,,,,,,,
801,1.0,,,,,,,,,,,,,,,,,
804,0.0,,,,,,,,,,,,,,,,,
805,0.0,,,,,,,,,,,,,,,,,
806,0.0,,,,,,,,,,,,,,,,,
809,1.0,,,,,,,,,,,,,,,,,
812,0.0,,,,,,,,,,,,,,,,,
813,0.0,,,,,,,,,,,,,,,,,
814,0.0,,,,,,,,,,,,,,,,,
815,0.0,,,,,,,,,,,,,,,,,
816,0.0,,,,,,,,,,,,,,,,,
817,0.0,,,,,,,,,,,,,,,,,
818,1.0,,,,,,,,,,,,,,,,,
820,0.0,,,,,,,,,,,,,,,,,
821,0.0,,,,,,,,,,,,,,,,,
822,0.0,,,,,,,,,,,,,,,,,
823,0.0,,,,,,,,,,,,,,,,,
824,0.0,,,,,,,,,,,,,,,,,
826,0.0,,,,,,,,,,,,,,,,,
827,0.0,,,,,,,,,,,,,,,,,
834,0.0,,,,,,,,,,,,,,,,,
835,0.0,,,,,,,,,,,,,,,,,
836,0.0,,,,,,,,,,,,,,,,,
837,0.0,,,,,,,,,,,,,,,,,
838,0.0,,,,,,,,,,,,,,,,,
839,0.0,,,,,,,,,,,,,,,,,
840,0.0,,,,,,,,,,,,,,,,,
842,1.0,,,,,,,,,,,,,,,,,
844,0.0,,,,,,,,,,,,,,,,,
845,0.0,,,,,,,,,,,,,,,,,
847,0.0,,,,,,,,,,,,,,,,,
849,0.0,,,,,,,,,,,,,,,,,
859,0.0,,,,,,,,,,,,,,,,,
862,1.0,,,,,,,,,,,,,,,,,
864,0.0,,,,,,,,,,,,,,,,,
866,0.0,,,,,,,,,,,,,,,,,
868,0.0,,,,,,,,,,,,,,,,,
875,0.0,,,,,,,,,,,,,,,,,
877,0.0,,,,,,,,,,,,,,,,,
883,0.0,,,,,,,,,,,,,,,,,
884,1.0,,,,,,,,,,,,,,,,,
887,0.0,,,,,,,,,,,,,,,,,
888,1.0,,,,,,,,,,,,,,,,,
890,0.0,,,,,,,,,,,,,,,,,
895,0.0,,,,,,,,,,,,,,,,,
